competitorname,country,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent
100 Grand,Ireland,1,0,1,0,0,1,0,1,0,0.73199999,0.86000001,66.971725
3 Musketeers,Other Country,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,67.602936
One dime,Ireland,0,0,0,0,0,0,0,0,0,0.011,0.116,32.261086
One quarter,Other Country,0,0,0,0,0,0,0,0,0,0.011,0.51099998,46.116505
Air Heads,Ireland,0,1,0,0,0,0,0,0,0,0.90600002,0.51099998,52.341465
Almond Joy,Other Country,1,0,0,1,0,0,0,1,0,0.465,0.76700002,50.347546
Baby Ruth,Ireland,1,0,1,1,1,0,0,1,0,0.60399997,0.76700002,56.914547
Boston Baked Beans,Other Country,0,0,0,1,0,0,0,0,1,0.31299999,0.51099998,23.417824
Candy Corn,Ireland,0,0,0,0,0,0,0,0,1,0.90600002,0.32499999,38.010963
Caramel Apple Pops,Other Country,0,1,1,0,0,0,0,0,0,0.60399997,0.32499999,34.517681
Charleston Chew,Ireland,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,38.975037
Chewey Lemonhead Fruit Mix,Other Country,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,36.017628
Chiclets,Ireland,0,1,0,0,0,0,0,0,1,0.046,0.32499999,24.524988
Dots,Other Country,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,42.272076
Dum Dums,Ireland,0,1,0,0,0,0,1,0,0,0.73199999,0.034000002,39.460556
Fruit Chews,Other Country,0,1,0,0,0,0,0,0,1,0.127,0.034000002,43.088924
Fun Dip,Ireland,0,1,0,0,0,0,1,0,0,0.73199999,0.32499999,39.185505
Gobstopper,Other Country,0,1,0,0,0,0,1,0,1,0.90600002,0.45300001,46.783348
Haribo Gold Bears,Ireland,0,1,0,0,0,0,0,0,1,0.465,0.465,57.11974
Haribo Happy Cola,Other Country,0,0,0,0,0,0,0,0,1,0.465,0.465,34.158958
Haribo Sour Bears,Ireland,0,1,0,0,0,0,0,0,1,0.465,0.465,51.41243
Haribo Twin Snakes,Other Country,0,1,0,0,0,0,0,0,1,0.465,0.465,42.178772
Hershey's Kisses,Ireland,1,0,0,0,0,0,0,0,1,0.127,0.093000002,55.375454
Hershey's Krackel,Other Country,1,0,0,0,0,1,0,1,0,0.43000001,0.91799998,62.284481
Hershey's Milk Chocolate,Ireland,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,56.490501
Hershey's Special Dark,Other Country,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,59.236122
Jawbusters,Ireland,0,1,0,0,0,0,1,0,1,0.093000002,0.51099998,28.127439
Junior Mints,Other Country,1,0,0,0,0,0,0,0,1,0.197,0.51099998,57.21925
Kit Kat,Ireland,1,0,0,0,0,1,0,1,0,0.31299999,0.51099998,76.7686
Laffy Taffy,Other Country,0,1,0,0,0,0,0,0,0,0.22,0.116,41.389557
Lemonhead,Ireland,0,1,0,0,0,0,1,0,0,0.046,0.104,39.141056
Lifesavers big ring gummies,Other Country,0,1,0,0,0,0,0,0,0,0.26699999,0.27900001,52.911392
Peanut butter M&M's,Ireland,1,0,0,1,0,0,0,0,1,0.82499999,0.65100002,71.46505
M&M's,Other Country,1,0,0,0,0,0,0,0,1,0.82499999,0.65100002,66.574585
Mike & Ike,Ireland,0,1,0,0,0,0,0,0,1,0.87199998,0.32499999,46.411716
Milk Duds,Other Country,1,0,1,0,0,0,0,0,1,0.30199999,0.51099998,55.064072
Milky Way,Ireland,1,0,1,0,1,0,0,1,0,0.60399997,0.65100002,73.099556
Milky Way Midnight,Other Country,1,0,1,0,1,0,0,1,0,0.73199999,0.44100001,60.800701
Milky Way Simply Caramel,Ireland,1,0,1,0,0,0,0,1,0,0.96499997,0.86000001,64.35334
Mounds,Other Country,1,0,0,0,0,0,0,1,0,0.31299999,0.86000001,47.829754
Mr Good Bar,Ireland,1,0,0,1,0,0,0,1,0,0.31299999,0.91799998,54.526451
Nerds,Other Country,0,1,0,0,0,0,1,0,1,0.84799999,0.32499999,55.354046
Nestle Butterfinger,Ireland,1,0,0,1,0,0,0,1,0,0.60399997,0.76700002,70.735641
Nestle Crunch,Other Country,1,0,0,0,0,1,0,1,0,0.31299999,0.76700002,66.47068
Nik L Nip,Ireland,0,1,0,0,0,0,0,0,1,0.197,0.97600001,22.445341
Now & Later,Other Country,0,1,0,0,0,0,0,0,1,0.22,0.32499999,39.4468
Payday,Ireland,0,0,0,1,1,0,0,1,0,0.465,0.76700002,46.296597
Peanut M&Ms,Other Country,1,0,0,1,0,0,0,0,1,0.59299999,0.65100002,69.483788
Pixie Sticks,Ireland,0,0,0,0,0,0,0,0,1,0.093000002,0.023,37.722336
Pop Rocks,Other Country,0,1,0,0,0,0,1,0,1,0.60399997,0.83700001,41.265511
Red vines,Ireland,0,1,0,0,0,0,0,0,1,0.58099997,0.116,37.348522
Reese's Miniatures,Other Country,1,0,0,1,0,0,0,0,0,0.034000002,0.27900001,81.866257
Reese's Peanut Butter cup,Ireland,1,0,0,1,0,0,0,0,0,0.72000003,0.65100002,84.18029
Reese's pieces,Other Country,1,0,0,1,0,0,0,0,1,0.40599999,0.65100002,73.43499
Reese's stuffed with pieces,Ireland,1,0,0,1,0,0,0,0,0,0.98799998,0.65100002,72.887901
Ring pop,Other Country,0,1,0,0,0,0,1,0,0,0.73199999,0.96499997,35.290756
Rolo,Ireland,1,0,1,0,0,0,0,0,1,0.86000001,0.86000001,65.716286
Root Beer Barrels,Other Country,0,0,0,0,0,0,1,0,1,0.73199999,0.068999998,29.703691
Runts,Ireland,0,1,0,0,0,0,1,0,1,0.87199998,0.27900001,42.849144
Sixlets,Other Country,1,0,0,0,0,0,0,0,1,0.22,0.081,34.722
Skittles original,Ireland,0,1,0,0,0,0,0,0,1,0.94099998,0.22,63.08514
Skittles wildberry,Other Country,0,1,0,0,0,0,0,0,1,0.94099998,0.22,55.103695
Nestle Smarties,Ireland,1,0,0,0,0,0,0,0,1,0.26699999,0.97600001,37.887188
Smarties candy,Other Country,0,1,0,0,0,0,1,0,1,0.26699999,0.116,45.995827
Snickers,Ireland,1,0,1,1,1,0,0,1,0,0.546,0.65100002,76.673782
Snickers Crisper,Other Country,1,0,1,1,0,1,0,1,0,0.60399997,0.65100002,59.529251
Sour Patch Kids,Ireland,0,1,0,0,0,0,0,0,1,0.068999998,0.116,59.863998
Sour Patch Tricksters,Other Country,0,1,0,0,0,0,0,0,1,0.068999998,0.116,52.825947
Starburst,Ireland,0,1,0,0,0,0,0,0,1,0.15099999,0.22,67.037628
Strawberry bon bons,Other Country,0,1,0,0,0,0,1,0,1,0.56900001,0.057999998,34.578991
Sugar Babies,Ireland,0,0,1,0,0,0,0,0,1,0.96499997,0.76700002,33.43755
Sugar Daddy,Other Country,0,0,1,0,0,0,0,0,0,0.41800001,0.32499999,32.230995
Super Bubble,Ireland,0,1,0,0,0,0,0,0,0,0.162,0.116,27.303865
Swedish Fish,Other Country,0,1,0,0,0,0,0,0,1,0.60399997,0.755,54.861111
Tootsie Pop,Ireland,1,1,0,0,0,0,1,0,0,0.60399997,0.32499999,48.982651
Tootsie Roll Juniors,Other Country,1,0,0,0,0,0,0,0,0,0.31299999,0.51099998,43.068897
Tootsie Roll Midgies,Ireland,1,0,0,0,0,0,0,0,1,0.17399999,0.011,45.736748
Tootsie Roll Snack Bars,Other Country,1,0,0,0,0,0,0,1,0,0.465,0.32499999,49.653503
Trolli Sour Bites,Ireland,0,1,0,0,0,0,0,0,1,0.31299999,0.255,47.173229
Twix,Other Country,1,0,1,0,0,1,0,1,0,0.546,0.90600002,81.642914
Twizzlers,Ireland,0,1,0,0,0,0,0,0,0,0.22,0.116,45.466282
Warheads,Other Country,0,1,0,0,0,0,1,0,0,0.093000002,0.116,39.011898
Welch's Fruit Snacks,Ireland,0,1,0,0,0,0,0,0,1,0.31299999,0.31299999,44.375519
Werther's Original Caramel,Other Country,0,0,1,0,0,0,1,0,0,0.186,0.26699999,41.904308
Whoppers,Ireland,1,0,0,0,0,1,0,0,1,0.87199998,0.84799999,49.524113
